ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
VLTA,1819584,VLTA,"Volta, Inc. Class A",Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
BEST,1709505,BEST,BEST Inc. ADRs of Class A,Industrials,ADRs,Micro cap,2.7,46.3
LEGH,1436208,LEGH,Legacy Housing Corporation,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
CIFR,1819989,CIFR,Cipher Mining Inc.,Information Technology,Common stocks,Small cap,5.8,46.3
HCAR,1824846,HCAR,Healthcare Services Acquisition Corporation - Class A,Financials,Common stocks,Small cap,2.7,46.3
PACK,1712463,PACK,Ranpak Holdings Corp Class A,Materials,Common stocks,Small cap,0.9,46.3
BYTS,1842566,BYTS,BYTE Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
ADSE,1879248,ADSE,ADS-TEC Energy PLC,Industrials,Common stocks,Micro cap,2.7,46.3
RBB,1499422,RBB,RBB Bancorp,Financials,Common stocks,Micro cap,2.7,46.3
GHG,1724755,GHG,GreenTree Hospitality Group Ltd. ADRs of Class A,Consumer Discretionary,ADRs,Small cap,2.9,46.3
ALTG,1759824,ALTG,Alta Equipment Group Inc. Class A,Industrials,Common stocks,Small cap,2.7,46.3
DTOC,1839998,DTOC,Digital Transformation Opportunities Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
CDLX,1666071,CDLX,Cardlytics Inc.,Communication Services,Common stocks,Micro cap,1.6,46.3
STON,1753886,STON,StoneMor Partners LP,Consumer Discretionary,MLPs,Small cap,2.9,46.3
FHTX,1822462,FHTX,Foghorn Therapeutics Inc.,Health Care,Common stocks,Micro cap,2.8,46.3
CLAA,1837739,CLAA,Colonnade Acquisition Corp. II Class A,Financials,Common stocks,Small cap,2.7,46.3
HSC,45876,HSC,Harsco Corp,Industrials,Common stocks,Small cap,2.7,46.3
RSVR,1824403,RSVR,"Reservoir Media, Inc..",Communication Services,Common stocks,Small cap,1.6,46.3
FLWS,1084869,FLWS,1-800 Flowers.Com Inc Class A,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
ADTX,1726711,ADTX,"ADiTx Therapeutics, Inc.",Health Care,Common stocks,Micro cap,2.8,46.3
ALRS,903419,ALRS,Alerus Financial Corporation,Financials,Common stocks,Small cap,2.7,46.3
PIAI,1819175,PIAI,Prime Impact Acquisition I Class A,Financials,Common stocks,Micro cap,2.7,46.3
BRT,14846,BRT,BRT Apartments Corp,Real Estate,REITs,Small cap,0.6,46.3
UP,1819516,UP,Wheels Up Experience Inc. Class A,Industrials,Common stocks,Micro cap,2.7,46.3
OPY,791963,OPY,"Oppenheimer Holdings, Inc. Class A",Financials,Common stocks,Small cap,2.7,46.3
FACA,1839550,FACA,Figure Acquisition Corp. I Class A,Financials,Common stocks,Micro cap,2.7,46.3
PRSR,1825473,PRSR,Prospector Capital Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
PFDR,1839132,PFDR,Pathfinder Acquisition Corporation Class A,Financials,Common stocks,Small cap,2.7,46.3
BVH,315858,BVH,Bluegreen Vacations Holding Corporation Class A,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
METC,1687187,METC,Ramaco Resources Inc,Materials,Common stocks,Small cap,0.9,46.3
CVEO,1590584,CVEO,Civeo Corporation,Industrials,Common stocks,Small cap,2.7,46.3
MGTX,1735438,MGTX,Meiragtx Holdings Plc,Health Care,Common stocks,Micro cap,2.8,46.3
HLGN,1840292,HLGN,"Heliogen, Inc.",Industrials,Common stocks,Micro cap,2.7,46.3
NL,72162,NL,Nl Industries Inc,Industrials,Common stocks,Micro cap,2.7,46.3
LXRX,1062822,LXRX,Lexicon Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
RMAX,1581091,RMAX,Re Max Holdings Inc Class A,Real Estate,Common stocks,Small cap,0.6,46.3
LGO,1400438,LGO,Largo Resources Ltd.,Materials,Common stocks,Small cap,0.9,46.3
KVSA,1841873,KVSA,Khosla Ventures Acquisition Co. - Class A,Financials,Common stocks,Small cap,2.7,46.3
