symbol,description,gics_sector,equity_securities,cap_size
TKC,Turkcell Iletisim Hizmetleri ADRs,Communication Services,ADRs,Mid cap
CABO,Cable One Inc,Communication Services,Common stocks,Mid cap
TIGO,Millicom International Cellular S.A.,Communication Services,Common stocks,Mid cap
CCOI,Cogent Communications Holdings Inc,Communication Services,Common stocks,Mid cap
LUMN,"CenturyLink, Inc.",Communication Services,Common stocks,Mid cap
IHS,IHS Holding Ltd,Communication Services,Common stocks,Mid cap
IDCC,Interdigital Inc,Information Technology,Common stocks,Mid cap
GSAT,Globalstar Voting Inc,Communication Services,Common stocks,Small cap
GOGO,Gogo Inc,Communication Services,Common stocks,Small cap
LILA,Liberty Latin America Class A,Communication Services,Common stocks,Small cap
LILAK,Liberty Latin America Class C,Communication Services,Common stocks,Small cap
ATUS,"Altice USA, Inc. Class A",Communication Services,Common stocks,Small cap
RADI,"Radius Global Infrastructure, Inc.",Communication Services,Common stocks,Small cap
PTNR,Partner Communications ADRs,Communication Services,ADRs,Small cap
VEON,VEON Ltd ADRs,Communication Services,ADRs,Small cap
TDS,Telephone And Data Systems Inc,Communication Services,Common stocks,Small cap
USM,United States Cellular Corp,Communication Services,Common stocks,Small cap
SHEN,Shenandoah Telecommunications,Communication Services,Common stocks,Small cap
IDT,Idt Corp Class B,Communication Services,Common stocks,Small cap
RBBN,Ribbon Communications Inc.,Information Technology,Common stocks,Small cap
ATNI,ATN International Inc,Communication Services,Common stocks,Small cap
TEO,Telecom Argentina ADRs,Communication Services,ADRs,Small cap
ATEX,Anterix Inc.,Communication Services,Common stocks,Small cap
ASTS,"AST SpaceMobile, Inc. - Class A",Communication Services,Common stocks,Small cap
OOMA,Ooma Inc,Communication Services,Common stocks,Micro cap
