Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions
GLPG,Galapagos NV ADRs,Health Care,US Equity,ADRs,Mid cap,"$2,478,048,634","502,331",Analyze
HCM,Hutchison China Meditech ADRs,Health Care,US Equity,ADRs,Mid cap,"$2,455,961,000","331,024",Analyze
CORT,Corcept Therapeutics Inc,Health Care,US Equity,Common stocks,Mid cap,"$2,277,754,561","1,142,595",Analyze
MRTX,Mirati Therapeutics Inc,Health Care,US Equity,Common stocks,Mid cap,"$2,250,126,669","985,251",Analyze
INSM,Insmed Inc,Health Care,US Equity,Common stocks,Mid cap,"$2,238,412,072","1,270,593",Analyze
BEAM,Beam Therapeutics Inc.,Health Care,US Equity,Common stocks,Mid cap,"$2,196,544,125","1,147,830",Analyze
TGTX,TG Therapeutics Inc,Health Care,US Equity,Common stocks,Mid cap,"$2,182,274,224","4,027,153",Analyze
IMCR,Immunocore Holdings plc ADRs,Health Care,US Equity,ADRs,Mid cap,"$2,145,583,137","202,617",Analyze
XENE,Xenon Pharmaceuticals Inc.,Health Care,US Equity,Common stocks,Mid cap,"$2,142,661,314","484,349",Analyze
ABCL,AbCellera Biologics Inc.,Health Care,US Equity,Common stocks,Mid cap,"$2,102,986,115","1,717,617",Analyze
PRVB,Provention Bio Inc,Health Care,US Equity,Common stocks,Mid cap,"$2,077,753,595","2,081,768",Analyze
VTYX,"Ventyx Biosciences, Inc.",Health Care,US Equity,Common stocks,Mid cap,"$2,067,833,592","905,523",Analyze
BBIO,"BridgeBio Pharma, Inc.",Health Care,US Equity,Common stocks,Mid cap,"$2,055,645,938","2,617,001",Analyze
